Frequency (Hz)	Level (dB)
21.533203	-55.527493
43.066406	-44.949673
64.599609	-47.014492
86.132812	-61.929581
107.666016	-63.906216
129.199219	-70.911331
150.732422	-66.156525
172.265625	-53.777180
193.798828	-49.927601
215.332031	-55.285419
236.865234	-71.110184
258.398438	-78.680107
279.931641	-74.540756
301.464844	-69.410194
322.998047	-71.538353
344.531250	-68.693619
366.064453	-71.556229
387.597656	-78.604416
409.130859	-79.016136
430.664062	-76.569214
452.197266	-72.255257
473.730469	-78.449318
495.263672	-81.432808
516.796875	-84.215515
538.330078	-85.028069
559.863281	-84.129265
581.396484	-85.361969
602.929688	-83.110832
624.462891	-81.910233
645.996094	-77.098572
667.529297	-80.860748
689.062500	-89.685394
710.595703	-90.171425
732.128906	-87.977928
753.662109	-84.933479
775.195312	-88.474510
796.728516	-83.190887
818.261719	-86.690163
839.794922	-85.412270
861.328125	-85.806442
882.861328	-91.883217
904.394531	-90.904640
925.927734	-83.507080
947.460938	-76.444023
968.994141	-80.946907
990.527344	-86.383820
1012.060547	-86.771896
1033.593750	-88.303596
1055.126953	-86.042183
1076.660156	-90.643570
1098.193359	-89.477646
1119.726562	-90.003967
1141.259766	-86.141884
1162.792969	-85.531517
1184.326172	-86.329826
1205.859375	-87.496544
1227.392578	-84.197144
1248.925781	-78.847534
1270.458984	-83.973846
1291.992188	-88.734589
1313.525391	-88.953049
1335.058594	-88.116272
1356.591797	-86.981560
1378.125000	-89.501740
1399.658203	-88.774986
1421.191406	-88.758347
1442.724609	-86.105133
1464.257812	-87.857849
1485.791016	-89.592163
1507.324219	-85.306908
1528.857422	-83.713097
1550.390625	-82.513611
1571.923828	-82.918686
1593.457031	-85.939926
1614.990234	-91.491592
1636.523438	-92.479897
1658.056641	-91.673302
1679.589844	-95.217606
1701.123047	-91.963486
1722.656250	-92.460106
1744.189453	-87.371696
1765.722656	-89.177956
1787.255859	-91.579544
1808.789062	-91.311974
1830.322266	-90.166641
1851.855469	-87.156761
1873.388672	-87.683205
1894.921875	-87.773369
1916.455078	-89.675690
1937.988281	-91.274429
1959.521484	-86.354240
1981.054688	-82.819580
2002.587891	-81.929436
2024.121094	-81.686623
2045.654297	-78.196846
2067.187500	-75.403114
2088.720703	-73.516151
2110.253906	-73.635841
2131.787109	-74.373489
2153.320312	-74.934883
2174.853516	-75.571869
2196.386719	-75.945000
2217.919922	-77.055962
