Frequency (Hz)	Level (dB)
21.533203	-58.827332
43.066406	-48.244846
64.599609	-50.208755
86.132812	-59.379780
107.666016	-61.001575
129.199219	-69.850861
150.732422	-69.762100
172.265625	-62.763832
193.798828	-63.336987
215.332031	-71.341789
236.865234	-79.335686
258.398438	-79.754852
279.931641	-75.791748
301.464844	-73.331177
322.998047	-75.313034
344.531250	-71.446815
366.064453	-74.154991
387.597656	-80.714798
409.130859	-80.737000
430.664062	-77.954590
452.197266	-73.199905
473.730469	-78.603149
495.263672	-78.325035
516.796875	-77.587387
538.330078	-79.401871
559.863281	-84.761772
581.396484	-85.780037
602.929688	-84.535095
624.462891	-82.808685
645.996094	-77.116440
667.529297	-80.387917
689.062500	-90.701996
710.595703	-89.279045
732.128906	-86.482506
753.662109	-83.479362
775.195312	-89.167175
796.728516	-87.159561
818.261719	-89.695755
839.794922	-88.744095
861.328125	-87.983170
882.861328	-88.132217
904.394531	-83.061211
925.927734	-76.988625
947.460938	-74.833511
968.994141	-79.117561
990.527344	-85.191887
1012.060547	-88.595116
1033.593750	-88.818817
1055.126953	-86.010506
1076.660156	-91.749725
1098.193359	-90.828476
1119.726562	-90.182373
1141.259766	-86.761261
1162.792969	-84.714470
1184.326172	-84.034134
1205.859375	-83.510384
1227.392578	-82.626823
1248.925781	-80.651268
1270.458984	-81.778587
1291.992188	-82.929863
1313.525391	-83.260307
1335.058594	-82.791954
1356.591797	-82.522926
1378.125000	-80.979630
1399.658203	-77.627563
1421.191406	-74.774071
1442.724609	-72.728325
1464.257812	-72.139236
1485.791016	-72.389862
1507.324219	-74.591957
1528.857422	-77.329216
1550.390625	-79.623100
1571.923828	-84.460648
1593.457031	-89.867035
1614.990234	-88.139854
1636.523438	-87.509926
1658.056641	-88.349594
1679.589844	-87.342987
1701.123047	-83.652924
1722.656250	-80.752647
1744.189453	-78.984436
1765.722656	-77.431839
1787.255859	-76.041618
1808.789062	-74.716766
1830.322266	-73.808540
1851.855469	-73.455818
1873.388672	-72.655159
1894.921875	-71.698364
1916.455078	-70.834213
1937.988281	-69.647995
1959.521484	-68.704735
1981.054688	-67.650681
2002.587891	-66.923538
2024.121094	-66.982765
2045.654297	-67.401947
2067.187500	-67.182045
2088.720703	-65.656410
2110.253906	-63.918591
2131.787109	-62.297344
2153.320312	-61.042519
2174.853516	-61.215668
2196.386719	-62.604225
2217.919922	-63.976624
2239.453125	-64.909782
2260.986328	-65.470047
2282.519531	-65.786575
2304.052734	-66.616737
2325.585938	-67.928429
2347.119141	-69.092735
2368.652344	-70.786636
2390.185547	-72.382240
2411.718750	-73.404022
2433.251953	-74.485847
2454.785156	-75.826859
2476.318359	-77.374557
2497.851562	-77.902100
2519.384766	-77.339424
2540.917969	-76.858582
2562.451172	-76.566383
2583.984375	-76.997368
2605.517578	-77.886848
2627.050781	-77.583092
2648.583984	-75.672821
2670.117188	-74.959404
2691.650391	-75.538757
2713.183594	-76.219910
2734.716797	-77.388077
2756.250000	-78.300491
2777.783203	-78.182320
2799.316406	-77.604111
2820.849609	-76.991264
2842.382812	-77.089622
2863.916016	-77.845810
2885.449219	-78.807854
2906.982422	-79.436203
2928.515625	-80.330177
2950.048828	-81.757034
2971.582031	-84.034538
2993.115234	-88.233810
3014.648438	-92.374321
3036.181641	-86.389877
3057.714844	-82.774643
3079.248047	-81.749382
3100.781250	-80.175041
3122.314453	-78.767311
3143.847656	-77.571724
3165.380859	-76.096024
3186.914062	-75.803047
3208.447266	-75.771278
3229.980469	-74.793365
3251.513672	-74.492897
3273.046875	-74.776566
3294.580078	-74.536514
3316.113281	-73.574448
3337.646484	-72.862823
3359.179688	-73.135498
3380.712891	-73.449463
3402.246094	-73.901428
3423.779297	-74.617249
3445.312500	-74.738647
3466.845703	-75.672928
3488.378906	-78.058037
3509.912109	-83.042526
3531.445312	-87.524300
3552.978516	-82.958557
3574.511719	-80.886925
3596.044922	-80.829536
3617.578125	-81.760727
3639.111328	-81.837029
3660.644531	-81.120766
3682.177734	-81.741646
3703.710938	-84.486450
3725.244141	-88.306992
3746.777344	-91.627266
3768.310547	-93.607269
3789.843750	-93.256477
3811.376953	-89.961578
3832.910156	-87.317780
3854.443359	-85.189346
3875.976562	-83.351738
3897.509766	-82.074104
3919.042969	-81.215454
3940.576172	-80.496803
3962.109375	-78.997093
3983.642578	-77.224144
4005.175781	-76.147339
4026.708984	-75.043465
4048.242188	-73.256409
4069.775391	-71.073174
4091.308594	-69.486229
4112.841797	-68.426636
4134.375000	-67.693069
4155.908203	-68.046486
4177.441406	-69.129501
4198.974609	-70.794647
4220.507812	-72.253792
4242.041016	-73.249825
4263.574219	-74.312370
4285.107422	-75.910568
4306.640625	-76.850449
4328.173828	-77.123947
4349.707031	-77.568428
4371.240234	-78.698341
4392.773438	-79.580284
4414.306641	-80.678131
4435.839844	-81.300964
4457.373047	-81.565575
4478.906250	-81.390572
4500.439453	-81.078934
4521.972656	-80.881355
4543.505859	-80.028603
4565.039062	-79.110161
4586.572266	-78.573174
4608.105469	-78.072243
4629.638672	-77.883865
4651.171875	-77.892746
4672.705078	-78.447365
4694.238281	-78.813049
4715.771484	-79.296066
4737.304688	-79.753098
4758.837891	-80.412949
4780.371094	-81.518539
4801.904297	-83.264084
4823.437500	-85.059380
4844.970703	-86.468819
4866.503906	-85.818573
4888.037109	-83.818039
4909.570312	-81.865097
4931.103516	-80.669502
4952.636719	-80.578262
4974.169922	-81.719612
