Frequency (Hz)	Level (dB)
21.533203	-56.532307
43.066406	-45.929466
64.599609	-47.995331
86.132812	-63.466869
107.666016	-64.892212
129.199219	-74.183670
150.732422	-74.156586
172.265625	-75.758774
193.798828	-71.397110
215.332031	-70.623131
236.865234	-73.976112
258.398438	-78.866486
279.931641	-74.966675
301.464844	-70.657196
322.998047	-75.176231
344.531250	-69.775803
366.064453	-72.400978
387.597656	-78.857658
409.130859	-78.321198
430.664062	-78.207932
452.197266	-74.482773
473.730469	-79.476372
495.263672	-77.307312
516.796875	-78.182617
538.330078	-80.128006
559.863281	-81.365036
581.396484	-86.139542
602.929688	-85.513145
624.462891	-81.104141
645.996094	-72.805328
667.529297	-76.274376
689.062500	-88.959084
710.595703	-88.440002
732.128906	-81.162766
753.662109	-77.407608
775.195312	-84.436417
796.728516	-83.681786
818.261719	-86.881645
839.794922	-83.421608
861.328125	-82.486069
882.861328	-84.019783
904.394531	-84.939613
925.927734	-79.827034
947.460938	-72.546394
968.994141	-76.623016
990.527344	-85.969208
1012.060547	-86.747635
1033.593750	-88.706543
1055.126953	-87.763374
1076.660156	-90.286652
1098.193359	-90.073540
1119.726562	-90.424683
1141.259766	-85.865562
1162.792969	-86.185921
1184.326172	-90.404053
1205.859375	-90.019760
1227.392578	-86.549507
1248.925781	-81.258392
1270.458984	-84.825897
1291.992188	-86.313705
1313.525391	-85.646729
1335.058594	-85.465843
1356.591797	-85.985718
1378.125000	-90.034134
1399.658203	-87.036064
1421.191406	-84.492683
1442.724609	-83.706810
1464.257812	-86.605339
1485.791016	-88.334877
1507.324219	-88.515625
1528.857422	-91.089638
1550.390625	-89.169533
1571.923828	-92.986610
1593.457031	-93.751106
1614.990234	-93.552887
1636.523438	-90.845619
1658.056641	-89.577873
1679.589844	-90.445930
1701.123047	-87.606773
1722.656250	-86.045906
1744.189453	-83.539207
1765.722656	-84.462746
1787.255859	-86.004456
1808.789062	-85.648521
1830.322266	-85.691498
1851.855469	-85.588829
1873.388672	-86.514542
1894.921875	-87.921150
1916.455078	-90.098846
1937.988281	-87.875099
1959.521484	-83.645538
1981.054688	-81.384323
2002.587891	-81.545731
2024.121094	-82.845947
2045.654297	-80.727448
2067.187500	-77.703995
2088.720703	-73.668488
2110.253906	-70.181320
2131.787109	-68.471260
2153.320312	-69.375595
2174.853516	-72.229584
2196.386719	-75.129799
2217.919922	-77.714066
2239.453125	-79.565071
2260.986328	-81.491844
2282.519531	-82.900421
2304.052734	-83.907982
2325.585938	-84.970848
2347.119141	-85.495888
2368.652344	-87.441124
2390.185547	-88.188568
2411.718750	-88.683693
2433.251953	-90.155708
2454.785156	-91.539886
2476.318359	-93.554474
2497.851562	-92.867493
2519.384766	-93.180885
2540.917969	-93.318924
2562.451172	-93.292999
2583.984375	-93.155037
2605.517578	-92.257751
2627.050781	-90.686195
2648.583984	-88.735626
2670.117188	-88.927071
2691.650391	-90.400085
2713.183594	-91.571854
2734.716797	-93.188095
2756.250000	-94.580788
2777.783203	-96.318329
2799.316406	-95.485367
2820.849609	-98.842979
2842.382812	-101.260719
2863.916016	-102.906677
2885.449219	-99.817177
2906.982422	-97.382034
2928.515625	-101.991348
2950.048828	-98.400238
2971.582031	-101.586258
2993.115234	-100.724434
3014.648438	-99.149185
3036.181641	-98.236763
3057.714844	-97.166565
3079.248047	-96.971130
3100.781250	-95.325302
3122.314453	-94.506126
3143.847656	-92.798424
3165.380859	-91.203590
3186.914062	-91.542854
3208.447266	-92.487831
3229.980469	-93.424515
3251.513672	-92.685638
3273.046875	-92.936836
3294.580078	-90.971481
3316.113281	-89.574806
3337.646484	-89.428078
3359.179688	-90.955444
3380.712891	-92.987526
3402.246094	-93.561150
3423.779297	-94.311134
3445.312500	-92.909775
3466.845703	-93.316261
3488.378906	-93.833427
3509.912109	-93.286072
3531.445312	-93.703972
3552.978516	-94.126877
3574.511719	-96.341721
3596.044922	-97.017868
3617.578125	-96.785759
3639.111328	-95.936981
3660.644531	-95.192299
3682.177734	-94.927711
3703.710938	-95.634315
3725.244141	-97.755592
3746.777344	-97.500542
3768.310547	-100.146141
3789.843750	-102.763420
3811.376953	-101.616150
3832.910156	-97.907417
3854.443359	-94.711990
3875.976562	-97.724007
3897.509766	-98.173752
3919.042969	-98.026672
3940.576172	-98.342613
3962.109375	-98.345955
3983.642578	-97.297180
4005.175781	-96.202950
4026.708984	-94.322945
4048.242188	-91.404228
4069.775391	-89.302536
4091.308594	-87.997940
4112.841797	-87.212967
4134.375000	-86.862343
4155.908203	-87.144218
4177.441406	-88.421486
4198.974609	-89.674118
4220.507812	-90.727661
4242.041016	-91.646164
4263.574219	-92.862839
4285.107422	-93.625061
4306.640625	-93.235886
4328.173828	-92.118271
4349.707031	-90.950073
4371.240234	-90.495575
4392.773438	-89.870270
4414.306641	-89.906776
4435.839844	-90.173882
4457.373047	-89.892296
4478.906250	-89.420532
4500.439453	-88.724113
4521.972656	-88.411041
4543.505859	-87.771004
4565.039062	-87.444801
4586.572266	-88.263046
4608.105469	-89.060478
4629.638672	-90.203743
4651.171875	-90.919891
4672.705078	-90.836006
4694.238281	-89.937943
4715.771484	-88.887718
4737.304688	-88.061333
4758.837891	-87.648018
4780.371094	-87.544579
4801.904297	-87.922447
4823.437500	-88.622849
4844.970703	-90.009415
4866.503906	-91.647057
4888.037109	-94.083191
4909.570312	-96.897285
4931.103516	-102.681305
4952.636719	-101.791183
4974.169922	-96.751488
4995.703125	-92.786629
5017.236328	-89.663872
5038.769531	-87.357750
5060.302734	-85.773460
5081.835938	-84.821068
5103.369141	-84.281937
5124.902344	-84.354538
5146.435547	-84.501671
5167.968750	-85.082176
5189.501953	-86.528259
5211.035156	-88.353882
5232.568359	-89.386818
5254.101562	-89.685600
5275.634766	-89.097115
5297.167969	-87.337440
5318.701172	-85.424210
5340.234375	-83.637238
5361.767578	-82.491699
5383.300781	-81.685562
5404.833984	-81.301620
5426.367188	-81.297310
5447.900391	-81.099854
5469.433594	-81.282784
5490.966797	-81.208923
5512.500000	-80.583809
5534.033203	-79.539963
5555.566406	-78.428581
5577.099609	-78.341057
5598.632812	-77.783119
5620.166016	-76.716171
5641.699219	-75.788261
5663.232422	-75.264221
5684.765625	-74.624916
5706.298828	-74.469620
5727.832031	-74.052452
5749.365234	-73.726540
5770.898438	-73.738663
5792.431641	-73.606689
5813.964844	-73.972061
5835.498047	-74.255722
5857.031250	-74.575493
5878.564453	-75.057571
5900.097656	-75.852074
5921.630859	-76.170868
5943.164062	-76.510506
5964.697266	-77.339088
5986.230469	-78.132645
6007.763672	-79.037514
6029.296875	-79.697510
6050.830078	-80.064018
6072.363281	-80.342545
6093.896484	-80.269012
6115.429688	-80.115143
6136.962891	-80.407730
6158.496094	-80.792305
6180.029297	-81.295029
6201.562500	-82.083160
6223.095703	-82.850693
6244.628906	-84.062828
6266.162109	-83.992996
6287.695312	-83.775246
6309.228516	-83.556503
6330.761719	-83.374779
6352.294922	-83.132698
6373.828125	-84.373428
6395.361328	-86.015312
6416.894531	-87.910118
6438.427734	-89.901192
6459.960938	-91.462326
6481.494141	-90.701462
6503.027344	-89.285797
6524.560547	-88.151978
6546.093750	-86.690796
6567.626953	-85.279053
