Frequency (Hz)	Level (dB)
43.066406	-44.575470
86.132812	-48.506851
129.199219	-66.479507
172.265625	-74.481270
215.332031	-75.709503
258.398438	-73.750351
301.464844	-70.335106
344.531250	-68.521568
387.597656	-72.383156
430.664062	-73.392624
473.730469	-74.365005
516.796875	-81.141586
559.863281	-81.090401
602.929688	-77.355797
645.996094	-70.918900
689.062500	-75.509369
732.128906	-77.765091
775.195312	-78.258301
818.261719	-83.804123
861.328125	-85.805420
904.394531	-80.258575
947.460938	-73.950279
990.527344	-78.509697
1033.593750	-87.484306
1076.660156	-89.484093
1119.726562	-87.838737
1162.792969	-86.295998
1205.859375	-89.334007
1248.925781	-84.618477
1291.992188	-88.714897
1335.058594	-91.899643
1378.125000	-92.364250
1421.191406	-89.878723
1464.257812	-85.647224
1507.324219	-83.189186
1550.390625	-85.117462
1593.457031	-89.794312
1636.523438	-91.356041
1679.589844	-92.037308
1722.656250	-87.794235
1765.722656	-86.801239
1808.789062	-92.507721
1851.855469	-93.315292
1894.921875	-95.043495
1937.988281	-93.406906
1981.054688	-91.713028
2024.121094	-83.482681
2067.187500	-78.962463
2110.253906	-76.763435
2153.320312	-78.444633
2196.386719	-83.562386
2239.453125	-87.096329
2282.519531	-89.257973
2325.585938	-90.699921
2368.652344	-89.768761
2411.718750	-87.734756
2454.785156	-87.594788
2497.851562	-87.222504
2540.917969	-85.802773
2583.984375	-85.075790
2627.050781	-87.458366
2670.117188	-88.754692
2713.183594	-89.522690
2756.250000	-90.334190
2799.316406	-90.276474
2842.382812	-90.370331
2885.449219	-90.521904
2928.515625	-90.580292
2971.582031	-90.375069
3014.648438	-88.770607
3057.714844	-85.698662
3100.781250	-82.115799
3143.847656	-79.288780
3186.914062	-79.281578
3229.980469	-81.062569
3273.046875	-82.558792
3316.113281	-82.319176
3359.179688	-81.520325
3402.246094	-82.688736
3445.312500	-85.747879
3488.378906	-89.421349
3531.445312	-93.436485
3574.511719	-96.212311
3617.578125	-98.512337
3660.644531	-100.128334
3703.710938	-102.697021
3746.777344	-103.024162
3789.843750	-103.014786
3832.910156	-104.216438
3875.976562	-104.117958
3919.042969	-102.914085
3962.109375	-98.567902
4005.175781	-92.988022
4048.242188	-88.415192
4091.308594	-86.320099
4134.375000	-85.840088
4177.441406	-85.899406
4220.507812	-85.558701
4263.574219	-84.907516
4306.640625	-84.550041
4349.707031	-83.448578
4392.773438	-83.366356
4435.839844	-84.985550
4478.906250	-87.297058
4521.972656	-89.139275
4565.039062	-90.146263
4608.105469	-90.769928
4651.171875	-91.268639
4694.238281	-92.099442
4737.304688	-93.967979
4780.371094	-96.341354
4823.437500	-96.157104
4866.503906	-93.264771
4909.570312	-89.784546
4952.636719	-87.407722
4995.703125	-85.373260
5038.769531	-84.016777
5081.835938	-84.023865
5124.902344	-84.227943
5167.968750	-84.616920
5211.035156	-86.055077
5254.101562	-85.351021
5297.167969	-83.597069
5340.234375	-82.820137
5383.300781	-83.415436
5426.367188	-80.815216
5469.433594	-79.180008
5512.500000	-79.292839
5555.566406	-79.230713
5598.632812	-79.901527
5641.699219	-81.618607
5684.765625	-80.893692
5727.832031	-74.472702
5770.898438	-70.342995
5813.964844	-68.255600
5857.031250	-67.434975
5900.097656	-67.362854
5943.164062	-68.325890
5986.230469	-70.729225
6029.296875	-73.836693
6072.363281	-74.298187
6115.429688	-73.438133
6158.496094	-73.162872
6201.562500	-73.113754
6244.628906	-73.553711
6287.695312	-73.686493
6330.761719	-73.474869
6373.828125	-72.539131
6416.894531	-71.815369
6459.960938	-70.833603
6503.027344	-70.117012
6546.093750	-70.348335
6589.160156	-71.207687
6632.226562	-72.809181
6675.292969	-74.833839
6718.359375	-76.517097
6761.425781	-77.686920
6804.492188	-76.515388
