Frequency (Hz)	Level (dB)
21.533203	-57.169552
43.066406	-46.510574
64.599609	-48.544632
86.132812	-61.650345
107.666016	-62.563805
129.199219	-73.044250
150.732422	-77.069756
172.265625	-81.810043
193.798828	-76.338318
215.332031	-78.485756
236.865234	-84.552460
258.398438	-83.711098
279.931641	-76.133751
301.464844	-70.932381
322.998047	-75.338547
344.531250	-70.016304
366.064453	-72.796013
387.597656	-78.452484
409.130859	-75.861176
430.664062	-76.235313
452.197266	-74.274933
473.730469	-78.378578
495.263672	-77.875656
516.796875	-78.423340
538.330078	-75.515816
559.863281	-72.882507
581.396484	-72.712227
602.929688	-76.316933
624.462891	-78.700264
645.996094	-72.710167
667.529297	-76.041168
689.062500	-87.046623
710.595703	-87.588242
732.128906	-81.131989
753.662109	-77.387497
775.195312	-83.579292
796.728516	-82.527679
818.261719	-84.808708
839.794922	-83.116348
861.328125	-82.734604
882.861328	-84.962318
904.394531	-81.652840
925.927734	-77.480957
947.460938	-73.383148
968.994141	-77.864830
990.527344	-87.674911
1012.060547	-85.530121
1033.593750	-81.129921
1055.126953	-78.065277
1076.660156	-80.257240
1098.193359	-84.695137
1119.726562	-88.106812
1141.259766	-85.356094
1162.792969	-86.145096
1184.326172	-91.615211
1205.859375	-91.578438
1227.392578	-88.960876
1248.925781	-82.787003
1270.458984	-87.344933
1291.992188	-90.967148
1313.525391	-91.766174
1335.058594	-91.026985
1356.591797	-88.824318
1378.125000	-95.417725
1399.658203	-95.039352
1421.191406	-97.710724
1442.724609	-93.574959
1464.257812	-92.581360
1485.791016	-88.247612
1507.324219	-84.987679
1528.857422	-82.973145
1550.390625	-80.288094
1571.923828	-79.706093
1593.457031	-81.822334
1614.990234	-84.324532
1636.523438	-86.186546
1658.056641	-87.993690
1679.589844	-90.635437
1701.123047	-89.365189
1722.656250	-90.737366
1744.189453	-87.177773
1765.722656	-88.374573
1787.255859	-90.384827
1808.789062	-89.154137
1830.322266	-88.496513
1851.855469	-87.135818
1873.388672	-85.150604
1894.921875	-83.055740
1916.455078	-81.424561
1937.988281	-79.196152
1959.521484	-76.766731
1981.054688	-75.308334
2002.587891	-76.185410
2024.121094	-78.877144
2045.654297	-82.158173
2067.187500	-87.267036
2088.720703	-90.024162
2110.253906	-88.991409
2131.787109	-88.667488
2153.320312	-88.418449
2174.853516	-88.619995
2196.386719	-88.104843
2217.919922	-87.305725
2239.453125	-87.121300
2260.986328	-87.632065
2282.519531	-88.568672
2304.052734	-89.117332
2325.585938	-89.985558
2347.119141	-89.810585
2368.652344	-91.103638
2390.185547	-91.109100
2411.718750	-90.797798
2433.251953	-91.341042
2454.785156	-91.025894
2476.318359	-91.670784
2497.851562	-91.658020
2519.384766	-91.279381
2540.917969	-91.041054
2562.451172	-90.686806
2583.984375	-91.190514
2605.517578	-93.189064
2627.050781	-97.017303
2648.583984	-98.039955
2670.117188	-99.810722
2691.650391	-100.650589
2713.183594	-99.847328
2734.716797	-97.848351
2756.250000	-96.668159
2777.783203	-96.130051
2799.316406	-94.163101
2820.849609	-95.305550
2842.382812	-96.180183
2863.916016	-97.548981
