Frequency (Hz)	Level (dB)
21.533203	-55.948147
43.066406	-45.237259
64.599609	-47.258617
86.132812	-62.382381
107.666016	-62.178993
129.199219	-66.256470
150.732422	-73.377541
172.265625	-79.730934
193.798828	-75.598900
215.332031	-77.721474
236.865234	-81.025322
258.398438	-79.204193
279.931641	-73.984161
301.464844	-68.966103
322.998047	-71.750443
344.531250	-69.052719
366.064453	-71.975006
387.597656	-78.841164
409.130859	-77.710991
430.664062	-77.266228
452.197266	-72.986870
473.730469	-76.419579
495.263672	-76.461700
516.796875	-76.531555
538.330078	-76.536873
559.863281	-74.983688
581.396484	-76.144615
602.929688	-78.925980
624.462891	-79.047554
645.996094	-73.370720
667.529297	-76.378845
689.062500	-86.456009
710.595703	-86.859680
732.128906	-81.534607
753.662109	-77.560036
775.195312	-84.050621
796.728516	-82.889275
818.261719	-85.563988
839.794922	-82.795158
861.328125	-82.473480
882.861328	-91.052750
904.394531	-90.272545
925.927734	-81.536240
947.460938	-73.273994
968.994141	-76.799622
990.527344	-86.274727
1012.060547	-86.662628
1033.593750	-87.983025
1055.126953	-85.779854
1076.660156	-90.299927
1098.193359	-91.116791
1119.726562	-92.601303
1141.259766	-88.616013
1162.792969	-88.120872
1184.326172	-91.321678
1205.859375	-92.004692
1227.392578	-88.241127
1248.925781	-81.375328
1270.458984	-85.412315
1291.992188	-90.052223
1313.525391	-90.449242
1335.058594	-89.686234
1356.591797	-86.411110
1378.125000	-89.262825
1399.658203	-88.688522
1421.191406	-92.696373
1442.724609	-94.173592
1464.257812	-94.486008
1485.791016	-93.042892
1507.324219	-89.791397
1528.857422	-89.315353
1550.390625	-87.664719
1571.923828	-89.823647
1593.457031	-92.974358
1614.990234	-96.216522
1636.523438	-91.971039
1658.056641	-87.840042
1679.589844	-85.541283
1701.123047	-82.757835
1722.656250	-81.386398
1744.189453	-79.394341
1765.722656	-79.063438
1787.255859	-79.539368
1808.789062	-79.246063
1830.322266	-79.111107
1851.855469	-80.752495
1873.388672	-82.634300
1894.921875	-83.011429
1916.455078	-81.798561
1937.988281	-79.071083
1959.521484	-76.508148
1981.054688	-76.495247
2002.587891	-77.216621
2024.121094	-78.199165
2045.654297	-78.300354
2067.187500	-78.627663
2088.720703	-79.712845
2110.253906	-80.915909
2131.787109	-81.023842
2153.320312	-79.969734
2174.853516	-79.598701
2196.386719	-80.857460
2217.919922	-82.818848
2239.453125	-85.152405
2260.986328	-88.213547
2282.519531	-90.938866
2304.052734	-92.514069
2325.585938	-96.212807
2347.119141	-91.123337
2368.652344	-89.410034
2390.185547	-86.509758
2411.718750	-84.417206
2433.251953	-84.379883
2454.785156	-85.467064
2476.318359	-88.327263
2497.851562	-90.306145
2519.384766	-91.080696
2540.917969	-92.470207
2562.451172	-93.696808
2583.984375	-96.788467
2605.517578	-100.229111
2627.050781	-96.632622
2648.583984	-92.124130
2670.117188	-88.504440
2691.650391	-86.368591
2713.183594	-85.140862
2734.716797	-85.020607
2756.250000	-85.219032
2777.783203	-85.729485
2799.316406	-85.471611
