Frequency (Hz)	Level (dB)
21.533203	-57.389828
43.066406	-46.744301
64.599609	-48.788471
86.132812	-63.738487
107.666016	-64.718147
129.199219	-74.145981
150.732422	-75.265717
172.265625	-80.264977
193.798828	-76.227768
215.332031	-78.519196
236.865234	-83.415146
258.398438	-82.453552
279.931641	-76.183975
301.464844	-71.001396
322.998047	-75.550697
344.531250	-69.953491
366.064453	-72.398918
387.597656	-77.716164
409.130859	-77.964165
430.664062	-79.025108
452.197266	-74.671677
473.730469	-80.668297
495.263672	-81.545578
516.796875	-81.526695
538.330078	-78.434608
559.863281	-76.920334
581.396484	-79.550011
602.929688	-82.910194
624.462891	-82.055206
645.996094	-74.858009
667.529297	-78.210487
689.062500	-89.188431
710.595703	-89.529091
732.128906	-85.459305
753.662109	-81.614418
775.195312	-87.502197
796.728516	-84.153000
818.261719	-87.214127
839.794922	-86.719849
861.328125	-86.376999
882.861328	-88.791901
904.394531	-86.083061
925.927734	-81.934525
947.460938	-74.999214
968.994141	-79.064316
990.527344	-87.611816
1012.060547	-87.089272
1033.593750	-85.769699
1055.126953	-83.908669
1076.660156	-87.578255
1098.193359	-90.235596
1119.726562	-93.291420
1141.259766	-90.274139
1162.792969	-90.673843
1184.326172	-95.959991
1205.859375	-94.928551
1227.392578	-88.719719
1248.925781	-81.846436
1270.458984	-86.514130
1291.992188	-91.626266
1313.525391	-92.464165
1335.058594	-91.955650
1356.591797	-89.403130
1378.125000	-96.829964
1399.658203	-96.997452
1421.191406	-99.558205
1442.724609	-97.821922
1464.257812	-94.606613
1485.791016	-88.350777
1507.324219	-84.966202
1528.857422	-85.006958
1550.390625	-84.701660
1571.923828	-86.258041
1593.457031	-89.649651
1614.990234	-92.806503
1636.523438	-92.012543
1658.056641	-90.886780
1679.589844	-95.066460
1701.123047	-92.807091
1722.656250	-94.123749
1744.189453	-86.815773
1765.722656	-88.554626
1787.255859	-93.958687
1808.789062	-92.941269
1830.322266	-95.423035
1851.855469	-94.297791
1873.388672	-95.901352
1894.921875	-95.065224
1916.455078	-95.020935
1937.988281	-92.696770
1959.521484	-90.600777
1981.054688	-91.222107
2002.587891	-93.114220
2024.121094	-95.767204
2045.654297	-91.504402
2067.187500	-89.971779
2088.720703	-89.060158
2110.253906	-89.124855
2131.787109	-90.910278
2153.320312	-91.740608
2174.853516	-92.936798
2196.386719	-91.539314
2217.919922	-91.606163
2239.453125	-92.592316
2260.986328	-93.448112
2282.519531	-93.831818
2304.052734	-92.815819
2325.585938	-94.251465
