Frequency (Hz)	Level (dB)
21.533203	-55.295982
43.066406	-44.652748
64.599609	-46.728210
86.132812	-63.058361
107.666016	-65.490852
129.199219	-74.894882
150.732422	-75.620789
172.265625	-79.242317
193.798828	-75.806877
215.332031	-78.591164
236.865234	-81.360947
258.398438	-78.281357
279.931641	-74.617645
301.464844	-71.731987
322.998047	-74.733025
344.531250	-68.710548
366.064453	-71.625717
387.597656	-79.934120
409.130859	-79.642479
430.664062	-76.930054
452.197266	-72.481209
473.730469	-78.646866
495.263672	-83.050980
516.796875	-87.491844
538.330078	-84.441521
559.863281	-84.019958
581.396484	-89.110283
602.929688	-84.885330
624.462891	-79.044937
645.996094	-71.440506
667.529297	-75.151199
689.062500	-88.215126
710.595703	-87.687073
732.128906	-81.993355
753.662109	-78.819374
775.195312	-85.676216
796.728516	-84.781120
818.261719	-88.061218
839.794922	-87.855408
861.328125	-88.222496
882.861328	-92.839081
904.394531	-91.691788
925.927734	-80.761703
947.460938	-73.456017
968.994141	-78.054428
990.527344	-89.122887
1012.060547	-89.721138
1033.593750	-92.375755
1055.126953	-90.606537
1076.660156	-94.529007
1098.193359	-94.300941
1119.726562	-94.780647
1141.259766	-88.246155
1162.792969	-88.952858
1184.326172	-94.803543
1205.859375	-92.362244
1227.392578	-86.432747
1248.925781	-81.857811
1270.458984	-85.863548
1291.992188	-90.033524
1313.525391	-92.132523
1335.058594	-90.257812
1356.591797	-88.900635
1378.125000	-96.088127
1399.658203	-96.401558
1421.191406	-99.629700
1442.724609	-99.646027
1464.257812	-100.673653
1485.791016	-96.553528
1507.324219	-95.391190
1528.857422	-96.534279
1550.390625	-91.641922
1571.923828	-93.928680
1593.457031	-89.789391
1614.990234	-88.232811
1636.523438	-88.367516
1658.056641	-88.518929
1679.589844	-89.021339
1701.123047	-88.573257
1722.656250	-88.567818
1744.189453	-84.772209
1765.722656	-85.276611
1787.255859	-85.667244
1808.789062	-84.079803
1830.322266	-82.293343
1851.855469	-81.661194
1873.388672	-80.706352
1894.921875	-79.610207
1916.455078	-78.384819
1937.988281	-76.693123
1959.521484	-74.130920
1981.054688	-71.693176
2002.587891	-68.748466
2024.121094	-65.318222
2045.654297	-62.173485
2067.187500	-61.181553
2088.720703	-61.452892
2110.253906	-61.643993
2131.787109	-62.316647
2153.320312	-64.358337
2174.853516	-66.647507
2196.386719	-68.359680
2217.919922	-69.842598
2239.453125	-71.472618
2260.986328	-72.777702
2282.519531	-73.351891
2304.052734	-74.194511
2325.585938	-75.082611
2347.119141	-75.534927
2368.652344	-76.367752
2390.185547	-76.574074
2411.718750	-76.256264
2433.251953	-77.027977
2454.785156	-77.961983
2476.318359	-79.028259
2497.851562	-80.100121
2519.384766	-80.309151
2540.917969	-80.929100
2562.451172	-81.426682
2583.984375	-81.591782
2605.517578	-82.316307
2627.050781	-83.186729
2648.583984	-82.900894
2670.117188	-83.323669
2691.650391	-84.608452
2713.183594	-85.411827
2734.716797	-86.754456
2756.250000	-87.263206
2777.783203	-86.414268
2799.316406	-85.360748
2820.849609	-84.954086
2842.382812	-84.470009
2863.916016	-84.340157
2885.449219	-84.741806
2906.982422	-85.670174
2928.515625	-87.569710
2950.048828	-89.270653
2971.582031	-89.170425
2993.115234	-88.881172
3014.648438	-87.943336
3036.181641	-85.667999
3057.714844	-84.035141
3079.248047	-83.194664
3100.781250	-82.435394
3122.314453	-83.296593
3143.847656	-85.334450
3165.380859	-88.564804
3186.914062	-94.456657
3208.447266	-99.014442
3229.980469	-91.061829
3251.513672	-84.484413
3273.046875	-78.989090
3294.580078	-74.561714
3316.113281	-71.312759
3337.646484	-69.985405
3359.179688	-70.354851
3380.712891	-71.842903
3402.246094	-73.085442
3423.779297	-74.013931
3445.312500	-74.043129
3466.845703	-74.517975
3488.378906	-75.198631
3509.912109	-75.304169
3531.445312	-76.234085
3552.978516	-77.182968
3574.511719	-77.969742
3596.044922	-78.347443
3617.578125	-79.885101
3639.111328	-81.488586
3660.644531	-82.651627
3682.177734	-83.208321
3703.710938	-84.228447
3725.244141	-84.647438
3746.777344	-84.234261
3768.310547	-84.536873
3789.843750	-85.196838
3811.376953	-85.445412
3832.910156	-85.113976
3854.443359	-84.440018
3875.976562	-83.278236
3897.509766	-82.188934
3919.042969	-81.570694
3940.576172	-81.093094
3962.109375	-80.599243
3983.642578	-80.197342
4005.175781	-79.920517
4026.708984	-80.318329
4048.242188	-82.216400
4069.775391	-85.970375
4091.308594	-91.855423
4112.841797	-89.404404
4134.375000	-84.815948
4155.908203	-81.725197
4177.441406	-80.067650
4198.974609	-79.536835
4220.507812	-79.132111
4242.041016	-78.654030
4263.574219	-79.175293
4285.107422	-80.237228
4306.640625	-81.105606
4328.173828	-81.839714
4349.707031	-82.382835
4371.240234	-83.415855
4392.773438	-84.724907
4414.306641	-87.140526
4435.839844	-89.021904
4457.373047	-89.076004
4478.906250	-87.716705
4500.439453	-86.606392
4521.972656	-86.494598
4543.505859	-86.349350
4565.039062	-86.025299
4586.572266	-86.123062
4608.105469	-86.097176
4629.638672	-85.954857
4651.171875	-86.328560
4672.705078	-86.712135
4694.238281	-87.359016
4715.771484	-87.959953
4737.304688	-88.146461
4758.837891	-88.436707
4780.371094	-88.383728
4801.904297	-88.114761
4823.437500	-88.119827
4844.970703	-88.544373
4866.503906	-89.332878
4888.037109	-90.901276
4909.570312	-92.508339
4931.103516	-93.509430
4952.636719	-94.497452
4974.169922	-95.554260
4995.703125	-96.336098
5017.236328	-96.867233
