Frequency (Hz)	Level (dB)
23.437500	-54.293804
46.875000	-46.509518
70.312500	-50.668331
93.750000	-60.866203
117.187500	-63.663239
140.625000	-71.547127
164.062500	-73.997520
187.500000	-76.378105
210.937500	-77.657143
234.375000	-79.328201
257.812500	-77.862740
281.250000	-75.351311
304.687500	-72.606064
328.125000	-74.712814
351.562500	-71.034637
375.000000	-76.700150
398.437500	-78.538483
421.875000	-79.465508
445.312500	-73.051163
468.750000	-75.394318
492.187500	-81.102425
515.625000	-82.850227
539.062500	-83.148796
562.500000	-85.183571
585.937500	-88.271210
609.375000	-87.590164
632.812500	-77.751312
656.250000	-74.629120
679.687500	-83.348785
703.125000	-89.649666
726.562500	-83.853912
750.000000	-77.595657
773.437500	-82.573425
796.875000	-86.100731
820.312500	-87.824074
843.750000	-84.058090
867.187500	-84.429779
890.625000	-84.490150
914.062500	-80.545982
937.500000	-78.052902
960.937500	-79.011383
984.375000	-87.933578
1007.812500	-90.204346
1031.250000	-92.206276
1054.687500	-91.692673
1078.125000	-96.096420
1101.562500	-95.227394
1125.000000	-94.553421
1148.437500	-88.460747
1171.875000	-92.624733
1195.312500	-100.947929
1218.750000	-98.110909
1242.187500	-87.802307
1265.625000	-88.788361
1289.062500	-94.722610
1312.500000	-94.699806
1335.937500	-93.791443
1359.375000	-92.052612
1382.812500	-98.155212
1406.250000	-97.192680
1429.687500	-98.923714
1453.125000	-95.313522
1476.562500	-92.876328
1500.000000	-90.556152
1523.437500	-92.778145
1546.875000	-90.723457
1570.312500	-90.363960
1593.750000	-91.170815
1617.187500	-91.722916
1640.625000	-92.111664
1664.062500	-93.608734
1687.500000	-94.651337
1710.937500	-93.644135
1734.375000	-92.738823
1757.812500	-90.599503
1781.250000	-92.634315
1804.687500	-91.887703
1828.125000	-92.511276
1851.562500	-91.004921
1875.000000	-88.507362
1898.437500	-85.331421
1921.875000	-82.377525
1945.312500	-78.944168
1968.750000	-76.128853
1992.187500	-75.275764
2015.625000	-77.702370
2039.062500	-81.424164
2062.500000	-79.647545
2085.937500	-75.414070
2109.375000	-74.573265
2132.812500	-76.366432
2156.250000	-78.729172
2179.687500	-81.705147
2203.125000	-85.269386
2226.562500	-87.863441
2250.000000	-88.824539
2273.437500	-89.209579
2296.875000	-90.093643
2320.312500	-92.250092
2343.750000	-93.997009
2367.187500	-94.864952
2390.625000	-94.951515
2414.062500	-97.098480
2437.500000	-100.534912
2460.937500	-96.362396
2484.375000	-93.046700
2507.812500	-90.252151
2531.250000	-88.831100
2554.687500	-88.199097
2578.125000	-88.341431
2601.562500	-88.634201
2625.000000	-89.025322
2648.437500	-89.296661
2671.875000	-91.189232
2695.312500	-92.405891
2718.750000	-90.867538
2742.187500	-90.526314
2765.625000	-92.552696
2789.062500	-95.035912
2812.500000	-98.501572
2835.937500	-99.227707
2859.375000	-93.773911
2882.812500	-92.614540
2906.250000	-91.746582
2929.687500	-89.009338
2953.125000	-86.670708
2976.562500	-85.366203
3000.000000	-85.486763
3023.437500	-86.211845
3046.875000	-86.630180
3070.312500	-86.323158
3093.750000	-85.316925
3117.187500	-84.636009
3140.625000	-85.715485
3164.062500	-88.233032
3187.500000	-92.163628
3210.937500	-90.820229
3234.375000	-87.831993
3257.812500	-84.207199
3281.250000	-78.065895
3304.687500	-73.140556
3328.125000	-70.700584
3351.562500	-70.353600
3375.000000	-71.524002
3398.437500	-72.815041
3421.875000	-74.531647
3445.312500	-75.971481
3468.750000	-76.522865
3492.187500	-76.661903
3515.625000	-77.320625
3539.062500	-79.853287
3562.500000	-83.371193
3585.937500	-87.774223
3609.375000	-93.584198
3632.812500	-94.614876
3656.250000	-87.993752
3679.687500	-84.371918
3703.125000	-82.827530
3726.562500	-81.499374
3750.000000	-79.899712
3773.437500	-79.640160
3796.875000	-79.438965
3820.312500	-79.147560
3843.750000	-79.442177
3867.187500	-79.646965
3890.625000	-79.439522
3914.062500	-79.484467
3937.500000	-78.596741
3960.937500	-77.004227
3984.375000	-75.530693
4007.812500	-75.023056
4031.250000	-75.551422
4054.687500	-76.135902
4078.125000	-76.298248
4101.562500	-76.473701
4125.000000	-76.331833
4148.437500	-76.186966
4171.875000	-75.900909
4195.312500	-76.220894
4218.750000	-77.280029
4242.187500	-78.345970
4265.625000	-80.329514
4289.062500	-82.522598
4312.500000	-83.088074
4335.937500	-82.714417
4359.375000	-82.307617
4382.812500	-81.816132
4406.250000	-81.511162
4429.687500	-81.905800
4453.125000	-82.083572
4476.562500	-82.094398
4500.000000	-81.526718
4523.437500	-81.414330
4546.875000	-80.736778
4570.312500	-79.709602
4593.750000	-79.141235
4617.187500	-78.630875
4640.625000	-78.375786
4664.062500	-78.724388
4687.500000	-79.275368
4710.937500	-79.554329
4734.375000	-79.230865
4757.812500	-78.998245
4781.250000	-78.702911
4804.687500	-78.717522
4828.125000	-78.573891
4851.562500	-78.155739
4875.000000	-77.656296
4898.437500	-76.415817
4921.875000	-75.277679
4945.312500	-74.886612
4968.750000	-75.518288
4992.187500	-75.974510
5015.625000	-76.488052
5039.062500	-77.980179
5062.500000	-79.756538
5085.937500	-80.227798
5109.375000	-78.975182
5132.812500	-77.615021
5156.250000	-77.068108
5179.687500	-77.439667
5203.125000	-78.680084
5226.562500	-79.791946
5250.000000	-80.454628
5273.437500	-81.756042
5296.875000	-83.037842
5320.312500	-84.367630
5343.750000	-85.049034
5367.187500	-85.170654
5390.625000	-85.458939
5414.062500	-87.373718
5437.500000	-91.114792
5460.937500	-91.422516
5484.375000	-86.363655
5507.812500	-82.337723
5531.250000	-78.665268
5554.687500	-75.862747
5578.125000	-74.258423
5601.562500	-72.793884
5625.000000	-71.587692
5648.437500	-71.651413
5671.875000	-72.091072
5695.312500	-73.031059
5718.750000	-74.220497
5742.187500	-75.956894
5765.625000	-77.566170
5789.062500	-79.197258
5812.500000	-82.487625
5835.937500	-87.821106
5859.375000	-92.543396
5882.812500	-88.231018
5906.250000	-85.131409
5929.687500	-83.037827
5953.125000	-82.404106
5976.562500	-82.191826
6000.000000	-81.558083
6023.437500	-80.565811
6046.875000	-79.414886
6070.312500	-79.334114
6093.750000	-79.635300
6117.187500	-80.040100
6140.625000	-80.949348
6164.062500	-80.894875
6187.500000	-80.307129
6210.937500	-79.894211
6234.375000	-80.038239
6257.812500	-80.071213
6281.250000	-80.349716
6304.687500	-81.300018
6328.125000	-82.647476
6351.562500	-83.588516
6375.000000	-84.348900
6398.437500	-85.155899
6421.875000	-85.951691
6445.312500	-87.155823
6468.750000	-89.248123
6492.187500	-91.702415
6515.625000	-93.831978
6539.062500	-93.869713
6562.500000	-91.609962
6585.937500	-89.058861
6609.375000	-87.529037
6632.812500	-86.412750
6656.250000	-85.482399
6679.687500	-84.332664
6703.125000	-83.404259
6726.562500	-83.531158
6750.000000	-83.739761
6773.437500	-83.945366
6796.875000	-84.760139
6820.312500	-84.939461
6843.750000	-84.627266
6867.187500	-83.663040
6890.625000	-83.051872
6914.062500	-82.457565
6937.500000	-81.859718
6960.937500	-81.855965
6984.375000	-82.168442
7007.812500	-82.412819
7031.250000	-82.972389
7054.687500	-83.664223
7078.125000	-84.986465
7101.562500	-86.390961
7125.000000	-88.199371
7148.437500	-89.645096
7171.875000	-89.329590
7195.312500	-88.510765
7218.750000	-88.723068
