Frequency (Hz)	Level (dB)
21.533203	-55.315750
43.066406	-44.667824
64.599609	-46.747177
86.132812	-63.117374
107.666016	-65.610954
129.199219	-75.066055
150.732422	-75.631035
172.265625	-79.630447
193.798828	-76.107155
215.332031	-78.989494
236.865234	-85.308060
258.398438	-82.137726
279.931641	-75.955009
301.464844	-72.081116
322.998047	-75.269669
344.531250	-68.503090
366.064453	-71.446304
387.597656	-80.249077
409.130859	-79.829071
430.664062	-77.347885
452.197266	-72.910042
473.730469	-79.645462
495.263672	-83.741753
516.796875	-87.378571
538.330078	-83.333351
559.863281	-82.947731
581.396484	-88.242928
602.929688	-84.132927
624.462891	-78.040764
645.996094	-70.355217
667.529297	-74.147415
689.062500	-88.569565
710.595703	-88.123245
732.128906	-80.024529
753.662109	-76.604897
775.195312	-84.184418
796.728516	-84.671143
818.261719	-88.131691
839.794922	-87.462708
861.328125	-87.913391
882.861328	-93.694969
904.394531	-92.980652
925.927734	-80.770035
947.460938	-73.535141
968.994141	-78.211411
990.527344	-89.336739
1012.060547	-90.242058
1033.593750	-93.289810
1055.126953	-91.093277
1076.660156	-94.922852
1098.193359	-94.792320
1119.726562	-94.290390
1141.259766	-85.939278
1162.792969	-86.913025
1184.326172	-94.081322
1205.859375	-92.128700
1227.392578	-86.984665
1248.925781	-82.896484
1270.458984	-86.845306
1291.992188	-90.639099
1313.525391	-92.787979
1335.058594	-90.491745
1356.591797	-89.172035
1378.125000	-96.791405
1399.658203	-96.375443
1421.191406	-99.640862
1442.724609	-98.426247
1464.257812	-100.026421
1485.791016	-96.538277
1507.324219	-95.283646
1528.857422	-94.677162
1550.390625	-89.694519
1571.923828	-93.002960
1593.457031	-89.970299
1614.990234	-88.653946
1636.523438	-88.341919
1658.056641	-88.757912
1679.589844	-89.607613
1701.123047	-89.159225
1722.656250	-88.945541
1744.189453	-85.719177
1765.722656	-86.212372
1787.255859	-86.008919
1808.789062	-84.278992
1830.322266	-82.861252
1851.855469	-82.007507
1873.388672	-81.090935
1894.921875	-79.873764
1916.455078	-78.554207
1937.988281	-76.513062
1959.521484	-74.492851
1981.054688	-71.804359
2002.587891	-68.905296
2024.121094	-65.596321
2045.654297	-62.716133
2067.187500	-61.781952
2088.720703	-61.985706
2110.253906	-62.228012
2131.787109	-63.149532
2153.320312	-65.136353
2174.853516	-67.754852
2196.386719	-69.485413
2217.919922	-70.861542
2239.453125	-72.501495
2260.986328	-73.915482
2282.519531	-74.463852
2304.052734	-75.077278
2325.585938	-75.944008
2347.119141	-76.516060
2368.652344	-77.328598
2390.185547	-77.380295
2411.718750	-77.217369
2433.251953	-77.698883
2454.785156	-78.713722
2476.318359	-80.040550
2497.851562	-81.020584
2519.384766	-81.285149
2540.917969	-81.831161
2562.451172	-82.294357
2583.984375	-82.782722
2605.517578	-83.503777
2627.050781	-84.172577
2648.583984	-84.020935
2670.117188	-84.823860
2691.650391	-86.268845
2713.183594	-87.083145
2734.716797	-88.301521
2756.250000	-88.675240
2777.783203	-87.546608
2799.316406	-86.609100
2820.849609	-86.147942
2842.382812	-85.999008
2863.916016	-85.930695
2885.449219	-86.443771
2906.982422	-87.308372
2928.515625	-89.453133
2950.048828	-91.347908
2971.582031	-91.471970
2993.115234	-90.776810
3014.648438	-89.427216
3036.181641	-87.136757
3057.714844	-85.632286
3079.248047	-84.963493
3100.781250	-84.419838
3122.314453	-85.512772
3143.847656	-88.007469
3165.380859	-91.937721
3186.914062	-98.940613
3208.447266	-96.945724
3229.980469	-89.700333
3251.513672	-84.363029
3273.046875	-79.587898
3294.580078	-75.602074
3316.113281	-72.596954
3337.646484	-71.070351
3359.179688	-71.352966
3380.712891	-72.459793
3402.246094	-73.738647
3423.779297	-74.635216
3445.312500	-74.515335
3466.845703	-75.178467
3488.378906	-75.745018
3509.912109	-75.876648
3531.445312	-76.551201
3552.978516	-77.810814
3574.511719	-78.586060
3596.044922	-78.976059
3617.578125	-80.320946
3639.111328	-81.860878
3660.644531	-82.843895
3682.177734	-83.068489
3703.710938	-84.042397
3725.244141	-84.855972
3746.777344	-84.396736
3768.310547	-84.576195
3789.843750	-85.117844
3811.376953	-85.388367
3832.910156	-85.110916
3854.443359	-84.392601
3875.976562	-83.314064
3897.509766	-82.369400
3919.042969	-81.697166
3940.576172	-81.435440
3962.109375	-81.078316
3983.642578	-80.446709
4005.175781	-80.335373
4026.708984	-80.794556
4048.242188	-82.862907
4069.775391	-87.411011
4091.308594	-92.234352
4112.841797	-87.279800
4134.375000	-82.974785
4155.908203	-80.535889
4177.441406	-79.133476
4198.974609	-78.843658
4220.507812	-78.632965
4242.041016	-78.296631
4263.574219	-78.667587
4285.107422	-79.880501
4306.640625	-80.677994
4328.173828	-81.142540
4349.707031	-81.618904
4371.240234	-82.780304
4392.773438	-83.975609
4414.306641	-86.270576
4435.839844	-88.533157
4457.373047	-88.863029
4478.906250	-87.585899
4500.439453	-86.439346
4521.972656	-86.330750
4543.505859	-86.293739
4565.039062	-86.001770
4586.572266	-86.175400
4608.105469	-86.050964
4629.638672	-86.002739
4651.171875	-86.137199
4672.705078	-86.880844
4694.238281	-87.198105
4715.771484	-87.720131
4737.304688	-88.502327
4758.837891	-88.895065
4780.371094	-88.749504
4801.904297	-88.232994
4823.437500	-87.998528
4844.970703	-88.214577
4866.503906	-88.901108
4888.037109	-89.583443
4909.570312	-89.825340
4931.103516	-90.268120
4952.636719	-90.976410
4974.169922	-92.083145
4995.703125	-92.963631
5017.236328	-93.524078
5038.769531	-94.413895
5060.302734	-94.919930
5081.835938	-95.557785
5103.369141	-95.782784
5124.902344	-94.530548
5146.435547	-91.279861
5167.968750	-88.332985
5189.501953	-86.609467
5211.035156	-85.560730
5232.568359	-84.631851
5254.101562	-84.746735
5275.634766	-86.107979
5297.167969	-86.917992
5318.701172	-87.650749
5340.234375	-88.237816
5361.767578	-89.645744
5383.300781	-91.483551
5404.833984	-94.122925
5426.367188	-97.495552
5447.900391	-95.776993
5469.433594	-92.361259
5490.966797	-90.989281
5512.500000	-90.465286
5534.033203	-90.015060
5555.566406	-89.417351
5577.099609	-88.863518
5598.632812	-86.514114
5620.166016	-82.967865
5641.699219	-80.106888
5663.232422	-77.452255
5684.765625	-75.093056
5706.298828	-73.432098
5727.832031	-72.263535
5749.365234	-71.094536
5770.898438	-70.417931
