Frequency (Hz)	Level (dB)
21.533203	-57.580441
43.066406	-46.925217
64.599609	-48.987152
86.132812	-64.383087
107.666016	-65.757362
129.199219	-75.572319
150.732422	-76.232765
172.265625	-79.846848
193.798828	-75.567360
215.332031	-76.019035
236.865234	-78.210342
258.398438	-74.413712
279.931641	-68.851288
301.464844	-67.624802
322.998047	-71.611298
344.531250	-69.395752
366.064453	-71.848427
387.597656	-76.652290
409.130859	-78.862480
430.664062	-77.681885
452.197266	-73.192177
473.730469	-79.611244
495.263672	-77.409447
516.796875	-75.213356
538.330078	-77.563194
559.863281	-78.580551
581.396484	-80.269402
602.929688	-81.155350
624.462891	-82.360794
645.996094	-78.090271
667.529297	-81.385284
689.062500	-88.538353
710.595703	-89.035034
732.128906	-86.509125
753.662109	-83.507523
775.195312	-86.245155
796.728516	-83.255989
818.261719	-85.546005
839.794922	-85.722198
861.328125	-85.715294
882.861328	-87.007996
904.394531	-86.261124
925.927734	-84.828041
947.460938	-78.174210
968.994141	-82.292656
990.527344	-86.954338
1012.060547	-86.614380
1033.593750	-85.734032
1055.126953	-83.679436
1076.660156	-86.600182
1098.193359	-85.912971
1119.726562	-86.103462
1141.259766	-84.642464
1162.792969	-84.208244
1184.326172	-85.257637
1205.859375	-85.766365
1227.392578	-84.489891
1248.925781	-79.739578
1270.458984	-85.023659
1291.992188	-90.722641
1313.525391	-91.246597
1335.058594	-91.756203
1356.591797	-90.051903
1378.125000	-92.837440
1399.658203	-91.835960
1421.191406	-91.293037
1442.724609	-87.067116
1464.257812	-87.589325
1485.791016	-87.881622
1507.324219	-87.219864
1528.857422	-89.595703
1550.390625	-88.720718
1571.923828	-92.383545
1593.457031	-94.810463
1614.990234	-93.332016
1636.523438	-88.254845
1658.056641	-85.869980
1679.589844	-84.534737
1701.123047	-83.494690
1722.656250	-83.243729
1744.189453	-82.409874
1765.722656	-82.251564
1787.255859	-81.705872
1808.789062	-80.546532
1830.322266	-79.426575
1851.855469	-77.817413
1873.388672	-76.678268
1894.921875	-75.395187
1916.455078	-73.892570
1937.988281	-71.102951
1959.521484	-68.218536
1981.054688	-66.607758
2002.587891	-66.322830
2024.121094	-67.467552
2045.654297	-68.192551
2067.187500	-68.799530
2088.720703	-69.618881
2110.253906	-71.146706
2131.787109	-73.433472
2153.320312	-76.954102
2174.853516	-81.054962
2196.386719	-83.057777
2217.919922	-83.489716
2239.453125	-83.620430
2260.986328	-84.080231
2282.519531	-84.927933
2304.052734	-86.691048
2325.585938	-89.055428
2347.119141	-88.873291
2368.652344	-92.731857
2390.185547	-95.829002
2411.718750	-96.298134
2433.251953	-96.068443
